mean [tax_paid] of consumers,mean [tax_collected] of consumers,mean [asked_someone_to_broker] of consumers,mean [brokered_for_someone] of consumers,mean [brokered_for_new_user] of consumers,mean [pinched] of consumers,mean [selling_price] of dealers,count dealers,count consumers
0.0,857.7115384615386,146.52884615384616,43.75,43.75,6.923232149016906,123.88888888888887,9,104
0.0,914.1980198019803,151.54455445544554,46.68316831683168,46.68316831683168,7.173306171070464,127.44444444444444,9,101
0.0,826.18,155.26,41.75,41.75,7.3135111111111115,112.5,6,100
1042.5196078431372,1042.5196078431372,152.66666666666666,53.57843137254902,53.57843137254902,7.9581649453674626,131.0,7,102
0.0,892.9611650485436,147.126213592233,45.71844660194175,45.71844660194175,7.595052436621878,117.57142857142857,7,103
0.0,924.8235294117646,146.33333333333334,47.82352941176471,47.82352941176471,7.424988193314794,124.55555555555556,9,102
0.0,864.4901960784314,150.9803921568627,44.34313725490196,44.34313725490196,7.181642335023315,120.375,8,102
1134.08,1134.08,154.52,58.3,58.3,9.540105152471083,118.875,8,100
0.0,847.48,153.94,43.75,43.75,6.041099796334009,140.28571428571428,7,100
1069.78,1077.98,155.31,55.3,54.88,8.44811912225705,127.6,5,100
0.0,876.4949494949495,154.76767676767676,44.70707070707071,44.737373737373744,6.472009120743297,135.42857142857142,7,99
0.0,882.5454545454545,154.33333333333334,45.56565656565657,45.09090909090909,7.327270629451313,120.375,8,99
1074.7326732673268,1074.7326732673268,153.03960396039602,55.21782178217822,55.21782178217822,9.477360434456145,113.4,5,101
0.0,998.040404040404,150.41414141414145,50.88888888888889,50.83838383838385,7.443013182674199,134.0909090909091,11,99
0.0,1027.6224489795916,149.23469387755105,52.11224489795919,51.897959183673464,8.269090664795547,124.27272727272728,11,98
0.0,862.4752475247525,152.14851485148515,44.069306930693074,44.069306930693074,6.540982375594004,131.85714285714286,7,101
1069.07,1069.07,156.37,54.84,54.84,9.07915074309979,117.75,8,100
0.0,917.7450980392157,148.99019607843138,46.81372549019608,46.81372549019608,6.077782106219969,151.0,9,102
0.0,794.9009900990097,154.73267326732673,40.21782178217822,40.21782178217822,5.98419816887586,132.83333333333334,6,101
1152.84,1152.84,155.27,58.56,58.56,8.660734557595992,133.11111111111111,9,100
0.0,941.86,150.2,48.12,48.12,7.408928220255652,127.125,8,100
0.0,948.26213592233,144.91262135922332,48.902912621359214,49.01941747572816,8.29164029820797,114.36363636363636,11,103
0.0,981.080808080808,148.58585858585855,50.35353535353536,50.31313131313132,8.403261739450176,116.75,8,99
1510.990099009901,1499.1386138613861,145.61386138613858,76.99009900990097,77.5841584158416,11.423682286165306,131.23076923076923,13,101
0.0,886.4509803921568,147.91176470588238,45.401960784313715,45.401960784313715,6.3671658607577095,139.22222222222223,9,102
1343.86,1343.86,151.37,68.68,68.68,11.545189003436422,116.4,10,100
0.0,938.4747474747476,152.06060606060606,48.262626262626256,48.09090909090909,7.776075673865728,120.66666666666669,9,99
0.0,816.7281553398059,149.6019417475728,41.864077669902905,41.864077669902905,6.349684395256017,128.625,8,103
0.0,1011.6,149.23,51.78,51.78,8.772038327526129,114.8,10,100
1111.04,1116.83,154.08,57.26,56.97,8.802600985221678,126.875,8,100
0.0,996.92,148.32,50.95,50.95,7.758132295719844,128.5,10,100
0.0,1139.4343434343436,141.94949494949498,58.949494949494955,58.343434343434346,8.936739948504654,127.5,14,99
1197.24,1202.02,151.68,61.55,61.31,10.101008403361346,119.0,8,100
0.0,944.83,151.45,48.48,48.48,8.06335112059765,117.125,8,100
0.0,908.8529411764706,148.09803921568627,46.88235294117647,46.88235294117647,6.848929473824192,132.7,10,102
0.0,927.52,151.33,47.68,47.68,7.010733182161754,132.3,10,100
1246.7474747474748,1246.6666666666667,153.9090909090909,64.1919191919192,64.16161616161617,9.697493517718243,128.55555555555554,9,99
0.0,878.1619047619048,143.3047619047619,45.323809523809516,45.323809523809516,7.603133374561949,115.5,8,105
1346.186274509804,1354.421568627451,147.50980392156862,69.16666666666667,68.75490196078431,11.083646224447222,122.2,10,102
0.0,857.186274509804,148.54901960784315,44.07843137254902,44.07843137254902,5.987224933641577,143.125,8,102
0.0,1056.66,147.07,54.13,54.13,8.768962655601662,120.5,12,100
0.0,1013.17,146.2,51.83,51.06,8.859904458598725,114.1818181818182,11,100
1156.2871287128712,1156.2871287128712,152.40594059405942,59.32673267326733,59.32673267326733,8.726695311040535,132.5,8,101
0.0,1011.4554455445544,146.33663366336634,52.118811881188115,52.356435643564346,8.171543096859057,123.77777777777777,9,101
0.0,932.4607843137256,145.33333333333334,47.62745098039216,47.5,6.479922059164177,143.9,10,102
1137.8235294117646,1145.0,151.00980392156862,58.647058823529406,58.29411764705882,8.682464454976305,131.875,8,102
0.0,872.5533980582526,146.71844660194176,44.9126213592233,44.87378640776699,6.757431930751227,129.125,8,103
0.0,841.78,155.71,43.09,43.09,6.518207964601773,129.14285714285714,7,100
0.0,951.4747474747476,148.83838383838383,48.686868686868685,49.28282828282829,8.859168970900816,107.4,10,99
1081.9897959183672,1064.408163265306,157.80612244897958,54.44897959183673,55.275510204081634,8.73898327804028,121.8,5,98
0.0,760.6,156.48,39.04,38.97,7.086335403726706,107.33333333333331,6,100
0.0,816.6262626262627,155.3030303030303,42.19191919191919,42.080808080808076,7.446440084737959,109.66666666666669,6,99
1208.9263157894736,1201.7368421052631,160.2842105263158,61.747368421052634,62.11578947368422,9.571355379599439,125.55555555555556,9,95
0.0,989.8282828282828,150.13131313131314,50.595959595959606,50.626262626262616,7.201131687242794,137.45454545454547,11,99
1073.6458333333333,1073.2291666666667,160.41666666666666,55.10416666666666,55.1875,8.223978288633461,130.5,8,96
0.0,897.5510204081633,155.42857142857142,46.0,45.94897959183673,7.263418662262592,123.57142857142857,7,98
0.0,820.96,153.74,42.1,42.1,6.6099838969404185,124.2,5,100
0.0,792.88,151.82,40.35,41.28,7.006303387334313,113.16666666666669,6,100
1054.0,1045.2,154.09,53.93,54.38,7.780645161290322,134.33333333333334,6,100
0.0,809.3,154.59,41.52,41.32,6.675100591715977,121.42857142857143,7,100
0.0,865.8712871287129,148.9108910891089,43.98019801980198,43.88118811881189,7.984450618974942,108.42857142857143,7,101
0.0,861.9795918367348,152.16326530612244,44.42857142857143,45.01020408163265,6.716314596013847,128.25,8,98
1142.01,1146.16,152.38,58.8,58.57,8.92821811100292,128.375,8,100
0.0,940.5306122448981,152.40816326530614,47.6530612244898,47.58163265306123,8.162753626040582,115.22222222222223,9,98
0.0,813.96,154.73,41.43,41.42,6.628338762214985,122.8,5,100
1135.6632653061224,1125.4795918367347,154.41836734693874,57.31632653061224,57.877551020408156,10.448749526335737,107.71428571428572,7,98
0.0,788.8019801980197,151.6039603960396,40.28712871287129,40.980198019801975,7.524216434382293,105.33333333333331,6,101
1232.4329896907213,1231.1134020618554,154.3917525773196,63.27835051546393,63.38144329896907,9.712926249008724,126.75,8,97
0.0,853.659793814433,153.83505154639175,43.917525773195884,43.793814432989684,5.501566877429212,155.16666666666666,6,97
0.0,983.04,149.08,50.28,50.98,7.836457041629764,125.44444444444444,9,100
0.0,927.4950495049504,149.46534653465346,47.37623762376238,47.37623762376238,6.4910228970019865,142.88888888888889,9,101
1106.32,1101.55,155.78,56.96,57.22,7.519112627986349,146.5,6,100
