"BehaviorSpace results (NetLogo 5.3.1)"
"drug_model.nlogo"
"experiment 1.0"
"04/18/2017 15:42:49:975 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","tolerance_limit","no_of_dealers","no_of_consumers","consumer_network","franchise_limit","leave_consumer","surplus","suspicion","allow_direct_connection","new_consumer","[step]","mean [tax_paid] of consumers","mean [tax_collected] of consumers","mean [asked_someone_to_broker] of consumers","mean [brokered_for_someone] of consumers","mean [brokered_for_new_user] of consumers","mean [pinched] of consumers","mean [selling_price] of dealers","count dealers","count consumers"
"135","3","25","100","1","10","50","24","10","1","50","17280","0","1300.0927835051546","131.56701030927834","66.36082474226804","65.12371134020619","10.475441755545443","124.04761904761905","21","97"
"136","3","25","100","1","10","50","24","10","1","50","17280","0","1238.0515463917525","138.4742268041237","63.30927835051546","63.422680412371136","9.92331392146061","124.76190476190476","21","97"
"139","3","25","100","1","10","50","24","10","1","50","17279","1569.2277227722773","1572.7128712871288","143.64356435643563","80.55445544554455","80.4059405940594","11.070570145443936","142.0625","16","101"
"138","3","25","100","1","10","50","24","10","1","50","17280","0","1248.41","126.14","64.25","64.77","10.177255434782607","122.66666666666667","27","100"
"140","3","25","100","1","10","50","24","10","1","50","17280","0","1189.6565656565656","137.77777777777777","60.666666666666664","60.515151515151516","9.583923296007361","124.1304347826087","23","99"
"141","3","25","100","1","10","50","24","10","5","10","17280","0","1203.8775510204082","137.5","61.714285714285715","62.09183673469388","9.692234520927016","124.21052631578948","19","98"
"142","3","25","100","1","10","50","24","10","5","10","17279","1596.2474226804125","1593.278350515464","146.03092783505156","81.74226804123711","81.85567010309278","10.809215403768413","147.4","15","97"
"143","3","25","100","1","10","50","24","10","5","10","17280","0","1215.35","135.81","61.95","61.95","9.664811133200795","125.75","24","100"
"144","3","25","100","1","10","50","24","10","5","10","17280","0","1278.4948453608247","137.81443298969072","65.70103092783505","65.42268041237114","10.610803349864394","120.47826086956522","23","97"
"146","3","25","100","1","10","50","24","10","5","10","17279","1596.79797979798","1595.5555555555557","145.3838383838384","81","81.12121212121212","11.06104371269016","144.25","16","99"
"145","3","25","100","1","10","50","24","10","5","10","17280","0","1219.060606060606","135.56565656565655","62.484848484848484","62.27272727272727","9.492685047193241","128.42105263157896","19","99"
"147","3","25","100","1","10","50","24","10","5","10","17280","0","1216.8383838383838","135.07070707070707","62.464646464646464","62.06060606060606","10.177306312814466","119.55","20","99"
